Model,Cost,Timestamp,Real Cost,User,Use Case,Context Tokens,Output Tokens
gpt-4-1106-preview,0.01053,2024-01-05 02:15:14.220264,,,,,
apify,0.0046854805206971,2024-01-05 02:20:19.769939,,,,,
gpt-4-1106-preview,0.01286,2024-01-05 02:20:36.505528,,,,,
dall-e-3,0.04,2024-01-05 02:22:16.483952,,,,,
gpt-4-1106-preview,0.01586,2024-01-05 02:33:09.222565,,,,,
apify,0.008803873035252,2024-01-05 02:49:05.080809,,,,,
dall-e-3,0.04,2024-01-05 02:49:25.624598,,,,,
apify,0.0093459543310569,2024-01-05 02:51:23.808184,,,,,
dall-e-3,0.04,2024-01-05 02:51:47.731929,,,,,
gpt-4-1106-preview,0.00378,2024-01-05 02:51:56.135781,,,,,
gpt-4-1106-preview,0.0048,2024-01-05 02:52:19.199737,,,,,
gpt-4-1106-preview,0.00366,2024-01-05 02:52:39.653867,,,,,
gpt-4-1106-preview,0.02218,2024-01-05 02:52:56.129091,,,,,
apify,0.0073201424388223,2024-01-05 02:58:50.395334,,,,,
dall-e-3,0.04,2024-01-05 02:59:13.928394,,,,,
gpt-4-1106-preview,0.01929,2024-01-05 02:59:35.662581,,,,,
apify,0.0091774561099823,2024-01-05 03:11:30.929302,,,,,
dall-e-3,0.04,2024-01-05 03:11:51.686667,,,,,
gpt-4-1106-preview,0.01248,2024-01-05 03:12:03.045707,,,,,
gpt-4-1106-preview,0.0132199999999999,2024-01-05 03:16:36.477918,,,,,
gpt-4-1106-preview,0.0156199999999999,2024-01-05 03:18:22.929027,,,,,
gpt-4-1106-preview,0.01189,2024-01-05 03:22:47.694917,,,,,
dall-e-3,0.04,2024-01-05 03:26:17.859273,,,,,
gpt-4-1106-preview,0.01872,2024-01-05 03:26:28.761139,,,,,
dall-e-3,0.04,2024-01-05 04:02:40.016873,,,,,
gpt-4-1106-preview,0.01553,2024-01-05 04:02:56.529390,,,,,
dall-e-3,0.04,2024-01-05 17:39:02.239055,,,,,
gpt-4-1106-preview,0.01376,2024-01-05 17:39:14.314228,,,,,
gpt-4-1106-preview,0.01209,2024-01-05 18:28:37.594100,,,,,
dall-e-3,0.04,2024-01-05 18:29:16.328599,,,,,
gpt-4-1106-preview,0.01676,2024-01-05 18:29:22.168419,,,,,
gpt-4-1106-preview,0.0120499999999999,2024-01-06 02:24:13.792087,,,,,
apify,0.0121068944106333,2024-01-06 02:25:35.206489,,,,,
gpt-4-1106-preview,0.01727,2024-01-06 02:25:41.001185,,,,,
gpt-4-1106-preview,0.01417,2024-01-06 03:07:12.733426,,,,,
apify,0.0082792838937375,2024-01-06 03:08:53.840903,,,,,
gpt-4-1106-preview,0.02446,2024-01-06 03:09:05.130866,,,,,
dall-e-3,0.04,2024-01-06 03:11:32.736852,,,,,
gpt-4-1106-preview,0.03057,2024-01-06 03:11:44.482952,,,,,
apify,0.0477628992630061,2024-01-07 20:08:02.187041,,,,,
dall-e-3,0.04,2024-01-07 20:08:17.897035,,,,,
apify,0.050679413521712,2024-01-07 20:21:46.644149,,,,,
dall-e-3,0.04,2024-01-07 20:22:03.563888,,,,,
apify,0.0679633827481667,2024-01-07 20:30:31.279273,,,,,
apify,0.047776490201046,2024-01-07 20:31:50.922736,,,,,
gpt-4-1106-preview,0.01957,2024-01-07 20:32:07.700583,,,,,
dall-e-3,0.04,2024-01-07 20:38:51.977010,,,,,
gpt-4-1106-preview,0.01554,2024-01-07 20:39:03.256546,,,,,
dall-e-3,0.04,2024-01-07 20:44:52.297533,,,,,
gpt-4-1106-preview,0.01437,2024-01-07 20:44:58.465721,,,,,
dall-e-3,0.04,2024-01-07 21:43:57.973751,,,,,
dall-e-3,0.04,2024-01-07 21:49:33.610038,,,,,
gpt-4-1106-preview,0.0147,2024-01-07 21:49:39.723029,,,,,
dall-e-3,0.04,2024-01-07 21:54:55.853434,,,,,
gpt-4-1106-preview,0.01485,2024-01-07 21:55:07.564047,,,,,
dall-e-3,0.04,2024-01-07 23:20:40.671004,,,,,
dall-e-3,0.04,2024-01-07 23:23:13.781419,,,,,
dall-e-3,0.04,2024-01-07 23:27:24.007109,,,,,
dall-e-3,0.04,2024-01-07 23:28:41.360710,,,,,
dall-e-3,0.04,2024-01-07 23:35:05.663634,,,,,
dall-e-3,0.04,2024-01-07 23:36:48.976447,,,,,
dall-e-3,0.04,2024-01-07 23:55:26.125494,,,,,
dall-e-3,0.04,2024-01-08 00:00:17.460981,,,,,
gpt-4-1106-preview,0.01497,2024-01-08 00:00:29.797376,,,,,
gpt-4-1106-preview,0.01432,2024-01-08 00:07:51.873819,,,,,
dall-e-3,0.04,2024-01-08 00:16:51.341586,,,,,
gpt-4-1106-preview,0.01321,2024-01-08 00:17:00.336599,,,,,
dall-e-3,0.04,2024-01-08 00:20:47.877177,,,,,
gpt-4-1106-preview,0.01405,2024-01-08 00:20:54.872287,,,,,
dall-e-3,0.04,2024-01-08 00:43:27.383873,,,,,
gpt-4-1106-preview,0.0138399999999999,2024-01-08 00:43:39.773727,,,,,
dall-e-3,0.04,2024-01-08 00:45:34.128636,,,,,
gpt-4-1106-preview,0.0141699999999999,2024-01-08 00:47:40.719717,,,,,
dall-e-3,0.04,2024-01-08 00:48:47.988106,,,,,
gpt-4-1106-preview,0.0137799999999999,2024-01-08 00:49:00.898318,,,,,
dall-e-3,0.04,2024-01-08 00:53:17.896658,,,,,
gpt-4-1106-preview,0.01841,2024-01-08 00:53:31.049488,,,,,
dall-e-3,0.04,2024-01-08 00:56:50.102392,,,,,
gpt-4-1106-preview,0.0231,2024-01-08 00:57:04.521385,,,,,
dall-e-3,0.04,2024-01-08 00:58:03.107184,,,,,
gpt-4-1106-preview,0.01355,2024-01-08 00:58:41.786239,,,,,
gpt-4-1106-preview,0.01852,2024-01-08 01:06:59.068347,,,,,
gpt-4-1106-preview,0.02277,2024-01-08 01:15:09.455393,,,,,
gpt-4-1106-preview,0.01604,2024-01-08 01:17:30.520372,,,,,
gpt-4-1106-preview,0.02273,2024-01-08 01:21:02.904883,,,,,
apify,0.0542884013663199,2024-01-08 01:23:29.274358,,,,,
gpt-4-1106-preview,0.0271399999999999,2024-01-08 01:23:40.870591,,,,,
gpt-4-1106-preview,0.0319399999999999,2024-01-08 01:24:28.151287,,,,,
gpt-4-1106-preview,0.03583,2024-01-08 01:24:45.125035,,,,,
gpt-4-1106-preview,0.03972,2024-01-08 01:24:59.898998,,,,,
dall-e-3,0.04,2024-01-08 01:25:29.899994,,,,,
gpt-4-1106-preview,0.0439,2024-01-08 01:25:47.433132,,,,,
gpt-4-1106-preview,0.0460099999999999,2024-01-08 01:26:33.281343,,,,,
gpt-4-1106-preview,0.01564,2024-01-08 02:14:15.300659,,,,,
apify,0.0127848071225401,2024-01-08 02:16:17.537588,,,,,
gpt-4-1106-preview,0.02323,2024-01-08 02:16:33.728082,,,,,
gpt-4-1106-preview,0.02834,2024-01-08 02:17:14.251287,,,,,
gpt-4-1106-preview,0.03479,2024-01-08 02:17:37.614670,,,,,
apify,0.0485695986255672,2024-01-08 02:19:14.709697,,,,,
gpt-4-1106-preview,0.04092,2024-01-08 02:19:26.051244,,,,,
dall-e-3,0.04,2024-01-08 02:19:54.969836,,,,,
gpt-4-1106-preview,0.04545,2024-01-08 02:20:08.783470,,,,,
gpt-4-1106-preview,0.01538,2024-01-08 18:39:56.065872,,,,,
gpt-4-1106-preview,0.01457,2024-01-08 18:54:19.933092,,,,,
gpt-4-1106-preview,0.01888,2024-01-08 18:54:36.921369,,,,,
gpt-4-1106-preview,0.00221,2024-01-09 15:14:47.575925,,,,,
photoroom,0.15,2024-01-09 15:14:55.038090,,,,,
gpt-4-1106-preview,0.01512,2024-01-09 15:15:06.376926,,,,,
gpt-4-1106-preview,0.00237,2024-01-09 15:26:30.048963,,,,,
photoroom,0.15,2024-01-09 15:26:38.529407,,,,,
gpt-4-1106-preview,0.01596,2024-01-09 15:26:55.157667,,,,,
gpt-4-1106-preview,0.02096,2024-01-09 15:28:55.671346,,,,,
gpt-4-1106-preview,0.02762,2024-01-09 15:34:12.936898,,,,,
gpt-4-1106-preview,0.0309699999999999,2024-01-11 01:48:41.196728,,,,,
